rowType,sessionId,timestamp,challengeId,challengeType,skill,eventName,attemptNumber,feedbackType,scaffoldLevel,relatedField,split,firstTryCorrect,independentSuccess,finalSuccess,attemptCount,hintCount,highestScaffoldLevel,selfCorrected,selectedSplitStrategy,subfactAccuracy,completionTimeMs,selectedSplit,partial1Attempts,partial2Attempts,partial1Outcome,partial2Outcome,supportUsed,supportType,supportOpened,supportCompleted,attentionCueShown,cueType,splitCueShown,addOneCueShown,plusDotCueShown,payload
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:17.493Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":4,""groups"":[3,3,3,3,1],""remaining"":2}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:17.769Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":4,""groups"":[3,3,3,3,2],""remaining"":1}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:18.033Z","build-5-3","build","equalGroups","control_changed","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""place"",""row"":4,""groups"":[3,3,3,3,3],""remaining"":0}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:18.375Z","build-5-3","build","equalGroups","answer_submitted","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""groups"":[3,3,3,3,3],""remaining"":0,""correct"":true}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:18.376Z","build-5-3","build","equalGroups","feedback_shown","1","success","0","array","","","","","","","","","","","","","","","","","","","","","","","","","","{""type"":""success"",""feedbackType"":""success"",""attemptNumber"":1,""scaffoldLevel"":0,""relatedField"":""array"",""message"":""Every row is equal. All the dots are shared."",""timestamp"":""2026-09-21T17:12:18.376Z""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:18.376Z","build-5-3","build","equalGroups","challenge_completed","1","","","","","","","","","","","","","","","","","","","","false","","","false","true","","false","false","true","{""attentionCueShown"":true,""splitCueShown"":false,""addOneCueShown"":false,""plusDotCueShown"":true,""strategySupportUsed"":false,""strategySupportType"":null,""supportUsed"":false,""supportType"":null,""supportCompleted"":false,""partial1Attempts"":0,""partial2Attempts"":0,""partial1Outcome"":null,""partial2Outcome"":null,""selectedSplit"":null,""challengeId"":""build-5-3"",""challengeType"":""build"",""skill"":""equalGroups"",""factors"":[5,3],""firstTryCorrect"":true,""independentSuccess"":false,""finalSuccess"":true,""attemptCount"":1,""hintCount"":0,""highestScaffoldLevel"":1,""selfCorrected"":false,""selectedSplitStrategy"":null,""subfactAccuracy"":null,""completionTimeMs"":4476,""completedAt"":""2026-09-21T17:12:18.376Z"",""incorrectAttempts"":0,""policy"":""practice-same-skill""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:18.650Z","split-6-7","split","decomposition","adaptive_decision","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""policy"":""offer-anchor"",""support"":true,""learnerState"":{""productRecall"":0,""equalGroups"":1,""arrayConstruction"":1,""decomposition"":0,""inverseRelationship"":0,""attempts"":2,""hintUsage"":1}}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:18.650Z","split-6-7","split","decomposition","challenge_started","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""target"":[6,7],""total"":42}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:18.665Z","split-6-7","split","decomposition","attention_cue_shown","0","","","","","","","","","","","","","","","","","","","","","","","","true","splitCueShown","true","","","{""attentionCueShown"":true,""cueType"":""splitCueShown"",""splitCueShown"":true,""trigger"":""entry""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:18.666Z","split-6-7","split","decomposition","feedback_shown","0","hint","1","split","","","","","","","","","","","","","","","","","","","","","","","","","","{""type"":""hint"",""feedbackType"":""hint"",""attemptNumber"":0,""scaffoldLevel"":1,""relatedField"":""split"",""message"":""Try a boundary after five rows. Then count each part."",""timestamp"":""2026-09-21T17:12:18.666Z""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:21.167Z","split-6-7","split","decomposition","attention_cue_shown","0","","","","","","","","","","","","","","","","","","","","","","","","true","splitCueShown","true","","","{""attentionCueShown"":true,""cueType"":""splitCueShown"",""splitCueShown"":true,""trigger"":""idle""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:30.820Z","split-6-7","split","decomposition","answer_changed_after_feedback","0","","1","split","","","","","","","","","","","","","","","","","","","","","","","","","","{""relatedField"":""split"",""previousFeedbackType"":""hint"",""scaffoldLevel"":1}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:30.820Z","split-6-7","split","decomposition","split_selected","0","","","","[2,4]","","","","","","","","","","","","","","","","","","","","","","","","","{""split"":[2,4],""target"":[6,7]}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:31.150Z","split-6-7","split","decomposition","support_opened","0","","","partA","","","","","","","","","","","","","","","","","","skip_count","true","","","","","","","{""supportOpened"":true,""supportType"":""skip_count"",""relatedField"":""partA"",""strategySupportUsed"":true}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:31.150Z","split-6-7","split","decomposition","hint_requested","0","","","partA","","","","","","","","","","","","","","","","","","skip_count","","","","","","","","{""supportType"":""skip_count"",""relatedField"":""partA""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:32.436Z","split-6-7","split","decomposition","support_completed","0","","","partA","","","","","","","","","","","","","","","","","","skip_count","","true","","","","","","{""supportCompleted"":true,""supportType"":""skip_count"",""relatedField"":""partA"",""rowTotals"":[7,14]}"
